Hour,DryBulb,ACCFactor,ACCPower,PumpPower,RadiatorPower,IndoorEquipmentPower,ITLoss,MEPLoss,FacilityPower,HourlyPUE
7623,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7624,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7625,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7626,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7627,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7628,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7629,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7630,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7631,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7632,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7633,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7634,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7635,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7636,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7637,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7638,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7639,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7640,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7641,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7642,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7643,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7644,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7645,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7646,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7647,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7648,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7649,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7650,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7651,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7652,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7653,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7654,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7655,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7656,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7657,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7658,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7659,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7660,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7661,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7662,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7663,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7664,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7665,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7666,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7667,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7668,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7669,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7670,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7671,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7672,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7673,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7674,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7675,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
7676,32.42,0.714571094890511,771.7367824817518,54.0,108.0,72.0,112.73741579509351,4.136035517346272,5082.610233794192,1.283487432776311
